0.0 0
1.20015 5360
1.40081 5896
1.40176 6968
1.4027 8040
1.40365 9112
1.40459 10184
1.60147 11256
1.60242 12328
1.60336 13400
1.6043 14472
1.60525 15544
1.60619 16616
1.60714 17688
1.60808 18760
1.60902 19832
1.80308 19296
1.80355 18912
1.80403 18719
1.8045 18527
1.80497 18334
1.80544 18142
1.80591 17950
1.80639 17757
1.80686 17565
1.80733 17372
1.8078 17180
1.80827 16988
1.80875 16795
1.80922 16603
1.80969 16410
1.81016 16218
1.81063 16026
1.81111 15833
1.81158 15641
1.81205 15448
1.81252 15256
1.81299 15063
1.81347 14871
1.81394 14679
1.81441 14486
1.81488 14294
1.81535 13400
2.00374 13936
2.00563 14472
2.01176 15008
2.20393 15544
2.40506 16080
2.41497 16616
2.60667 17152
2.80638 17688
2.81817 18224
3.01978 18760
3.2129 18224
3.21337 17848
3.21384 17660
3.21431 17471
3.21525 17283
3.21572 17095
3.21667 16906
3.21714 16718
3.21761 16530
3.21808 16341
3.21855 16153
3.21903 15965
3.2195 15776
3.21997 15588
3.22044 15400
3.22091 15211
3.22139 15023
3.22186 14835
3.22233 14646
3.2228 14458
3.22327 14270
3.22375 14081
3.22422 13893
3.22469 12864
3.41403 13400
3.41591 13936
3.61044 14472
3.82572 15008
4.21336 15544
6.8257 15008
6.82617 14628
6.82664 14438
6.82758 14248
6.82805 14058
6.82852 13867
6.82899 13677
6.82994 13487
6.83041 13297
6.83135 13107
6.83183 12916
6.83277 12726
6.83324 12536
6.83419 12346
6.83466 12156
6.83607 11965
6.83655 11775
6.83702 10720
7.02683 11256
7.02871 11792
7.22418 12328
7.22513 12864
7.42531 13400
7.62644 13936
7.62975 13400
7.63023 13018
7.6307 12826
7.63117 12635
7.63164 12443
7.63211 12252
7.63259 12060
7.63352 11869
7.63399 11678
7.63541 11486
7.63588 11295
7.63777 11103
7.63824 10912
7.64107 10720
7.64155 10529
7.64249 9648
7.83088 10184
7.8323 10720
8.2289 11256
8.43003 11792
9.03437 11256
9.03484 10854
9.03531 10653
9.03579 10452
9.03626 10251
9.03673 10050
9.0372 9849
9.03767 9648
9.03815 9447
9.03862 9246
9.03909 9045
9.03956 8040
9.2355 8576
9.23692 9112
9.43475 9648
9.63541 10184
9.83654 10720
10.0372 11256
10.244 10720
10.2445 10301
10.2449 10091
10.2454 9882
10.2473 9672
10.2478 9462
10.2525 9252
10.253 9043
10.439 8833
10.4395 8623
10.4399 8413
10.4404 7504
10.4447 8040
10.6397 8576
10.8455 9112
13.65 9648
14.0518 10184
14.2529 10720
14.4536 11256
14.6547 11792
14.8554 12328
14.8563 12864
15.0565 13400
15.0574 13936
15.2576 14472
15.2586 15008
15.4588 15544
15.4597 16080
15.6599 16616
15.6623 16080
15.6627 15691
15.6632 15496
15.6637 15301
15.6641 15106
15.6646 14911
15.6651 14716
15.6656 14521
15.666 14326
15.6665 14131
15.667 13936
15.6674 13742
15.6679 13547
15.6684 13352
15.6689 13157
15.6693 12962
15.6698 12767
15.6703 12572
15.6707 12377
15.6712 12182
15.6717 11256
15.8634 11792
15.8648 12328
15.8738 12864
16.0617 13400
16.0669 12864
16.0674 12467
16.0683 12269
16.0688 12070
16.0702 11872
16.0707 11673
16.0716 11475
16.0721 11276
16.0735 11078
16.074 10879
16.0744 10681
16.0749 10482
16.0754 10284
16.2623 10085
16.2628 9112
16.2675 9648
16.2708 10184
16.4673 9648
16.4677 9240
16.4682 9036
16.4687 8832
16.4715 8628
16.472 8423
16.4725 8219
16.4734 8015
16.4739 6968
16.6684 7504
16.8653 8040
17.0692 8576
19.0782 8040
19.0787 7624
19.0791 7415
19.0796 7207
19.0801 6998
19.0806 6790
19.081 5896
19.2788 6432
19.2807 6968
19.479 7504
19.6797 6968
19.6802 6499
19.6807 5729
19.6811 4824
19.8823 5360
